011l5,7r/2pP2k1/pp3pp1/3P1bP1/P1P5/8/1B1K4/8 b - - 0 35,h8d8 b2f6 g7f8 f6d8 f5d7 d8c7,1405,212,-27,10,crushing endgame fork long,https://lichess.org/vKJUTFGf/black#70,
013U2,r1b2k2/p2pbP2/1pn3pr/1P5p/2B5/P1B3N1/2P3PP/1K2R3 b - - 0 23,c6d8 e1e7 f8e7 c3b4 d7d6 b4d6,2135,76,93,6317,attraction crushing exposedKing long middlegame sacrifice,https://lichess.org/5k5xgjEM/black#46,
016fz,8/8/3R4/1P3k2/2Bb2pK/8/7r/8 w - - 1 63,h4g3 d4e5,1398,75,91,1047,endgame mate mateIn1 oneMove,https://lichess.org/jAbGFT6B#125,
018KA,4r1k1/1b1r1pPp/4p3/p5B1/5Q2/1P6/PbR3qP/6RK w - - 0 36,g1g2 d7d1 f4f1 d1f1,1168,117,87,22,mate mateIn2 middlegame pin short,https://lichess.org/qeWQ34cz#71,
01EEp,5r1k/2p3p1/7p/p4N2/Pb1B1n2/3B1b2/1PP4P/R5K1 b - - 0 23,f4d3 d4g7 h8h7 g7f8 b4f8 c2d3,1303,77,94,10886,crushing fork long middlegame,https://lichess.org/AKTT9Ch7/black#46,
01F3z,r4rk1/pp1b1ppp/8/2bBB3/8/8/PP3PPP/R4RK1 b - - 0 16,f8e8 d5b7 e8e5 b7a8,1696,75,93,2551,advantage middlegame short,https://lichess.org/d9xyOCEM/black#32,Horwitz_Defense Horwitz_Defense_Other_variations
01PoF,1r4k1/1pp4p/p2p2p1/8/4r3/2b2B1P/P1P4P/1R3RK1 b - - 1 22,e4c4 f3d5 g8h8 d5c4,847,103,95,998,advantage endgame fork short,https://lichess.org/NhFPQ8Tz/black#44,
01PrL,r7/ppp1kp1r/4n2R/4P1p1/6P1/2q1B2Q/P6P/5RK1 b - - 0 30,h7h6 e3g5 e6g5 h3c3,1616,85,87,29,advantage discoveredAttack middlegame short,https://lichess.org/6o1Gv97g/black#60,
01TSj,3r1r1k/ppp2Pb1/7p/4pbNR/4n3/BPP2P2/P3K1P1/R7 w - - 0 23,f3e4 f5g4 e2e3 g4h5,1066,77,80,156,advantage fork master middlegame short,https://lichess.org/URzdXeO5#45,
01Tea,r6r/N2k1pQ1/4p2p/1Nbp4/P3n3/8/2P3PP/R3R1qK w - - 2 26,e1g1 e4f2,868,90,94,311,mate mateIn1 middlegame oneMove smotheredMate,https://lichess.org/ueweliE1#51,
01Wnj,5rk1/p4ppp/1pQ5/2b1P3/8/P4N2/1Pq2PPP/4R1K1 w - - 1 28,c6b5 c5f2 g1f1 f2e1,1831,74,92,739,crushing endgame fork master short,https://lichess.org/pqbezA5x#55,
01Xyq,8/5kpp/1B1p4/P2P4/6PP/5p2/5P1K/r7 b - - 0 41,f7f6 b6d4 f6e7 d4a1,1249,75,91,961,crushing endgame fork short,https://lichess.org/pIQooIlD/black#82,
01Yc2,r4rk1/pp3pbp/6p1/4p3/4P1bP/2NPBn2/PP2KP2/R4B1R w - - 1 16,f1h3 f3g1 e2d2 g1h3,1895,76,92,2275,crushing doubleCheck middlegame short,https://lichess.org/JnSit24q#31,Sicilian_Defense Sicilian_Defense_Lasker-Pelikan_Variation
01b3S,r2q1r1k/4b1p1/p3b2p/4B1pQ/2p1P3/1P1p3P/P2P1P2/2KR2R1 b - - 0 22,c4b3 h5h6 h8g8 h6g7,1329,74,90,1076,kingsideAttack mate mateIn2 middlegame pin short,https://lichess.org/wBiesuqt/black#44,
01fsb,3q1rk1/1R3ppp/r5b1/p1bN4/6P1/5N1P/P1P2P2/3QR1K1 w - - 1 18,b7d7 d8d7 d5f6 a6f6 d1d7 f6f3,2133,76,96,621,advantage hangingPiece long master middlegame,https://lichess.org/8n74QdMs#35,French_Defense French_Defense_Schlechter_Variation
01gC2,r6k/1b2q1p1/p3p2p/np4N1/7Q/1BP5/P1P3PP/5R1K w - - 0 23,b3e6 e7g5 h4g5 h6g5,1337,76,77,240,advantage middlegame short,https://lichess.org/GDQPXBvZ#45,
01gjE,1Q2n1kr/r4ppp/q7/bbB5/4p3/2P1P3/P3NPPP/RN2K2R w KQ - 8 21,c5a7 a5c7 b8a8 b5c6 a8c6 a6c6,1582,309,100,9,equality long middlegame trappedPiece,https://lichess.org/VupKq5vL#41,
01i1O,3r2k1/pp3r2/6p1/2q1p3/3b2b1/4B3/P4QPP/1RR3K1 w - - 0 24,f2f7 g8f7 c1c5 d4e3,1684,130,79,17,crushing master middlegame short,https://lichess.org/98An8Xbf#47,
01mr0,3qr1k1/R5p1/3p3p/1p2p3/6Pb/4BP1P/1PQ5/6K1 w - - 0 24,e3h6 d8b6 g1g2 b6a7,1162,77,88,204,crushing endgame fork short,https://lichess.org/6X1do4jb#47,
01pkQ,8/R5pk/p1b4p/4pp2/7P/1B4P1/PP1r1P2/5K2 w - - 4 34,a7a6 c6b5 f1e1 d2e2 e1d1 b5a6,1644,74,99,812,crushing endgame fork long,https://lichess.org/5JQ6Spea#67,
01s7u,4r1k1/Q4pbp/p5p1/1p2q3/4pp2/1B5P/P4PP1/3R3K b - - 1 35,e4e3 b3f7 g8h8 f7e8,2119,78,92,61,advantage endgame fork short,https://lichess.org/yvyv4Bod/black#70,
